Description,Retail UPC,Retail,Price
MARL SPC BLEND RED BX,28200005656,5.05,54.84
MARL SPC BLEND RED BX,28200005656,5.05,54.64
MARL VA BLEND 100 BX,28200009746,5.85,54.84
MARL VA BLEND 100 BX,28200009746,5.85,54.64
MARLBORO BLEND 27,28200002655,5.85,0
MARLBORO BLEND 27 BX,28200002648,5.85,54.84
MARLBORO BLEND 27 BX,28200002648,5.85,54.64
MARLBORO BLUE MEN BOX,28200003768,5.05,54.84
MARLBORO BLUE MEN BOX,28200003768,5.05,54.64
MARLBORO BLUE MN100BX,28200003775,5.05,54.84
MARLBORO BLUE MN100BX,28200003775,5.05,54.64
MARLBORO BLUE 72 BOX,28200009616,5.05,54.84
MARLBORO BLUE 72 BOX,28200009616,5.05,54.64
MARLBORO BL27BX $1 OFF,28200173645,4.85,54.84
MARLBORO BL27BX $1 OFF,28200173645,4.85,44.64
MARLBORO BL54 MEN BX,28200009418,5.7,50.16
MARLBORO BL54 MN100BX,28200009425,5.7,50.16
MARLBORO BOX,28200003577,5.85,54.84
MARLBORO BOX,28200003577,5.85,54.64
MARLBORO EDGE BOX,28200319920,5.05,54.84
MARLBORO EDGE BOX,28200319920,5.05,54.64
MARLBORO EDGE BX $1/1PK,28200196965,4.05,54.84
MARLBORO EDGE BX $1/1PK,28200196965,4.05,44.64
MARLBORO GLDMNB $2/2PK,28200173973,9.4,54.84
MARLBORO GLDMNB $2/2PK,28200173973,9.4,44.64
MARLBORO GOLD,28200003782,5.85,54.84
MARLBORO GOLD,28200003782,5.85,54.64
MARLBORO GOLD BOX,28200003843,5.85,54.84
MARLBORO GOLD BOX,28200003843,5.85,54.64
MARLBORO GOLD MEN BOX,28200004017,5.7,54.84
MARLBORO GOLD MEN BOX,28200004017,5.7,54.64
MARLBORO GOLD MENTHOL,28200003720,5.7,0
MARLBORO GOLD 100,28200004376,5.85,54.84
MARLBORO GOLD 100,28200004376,5.85,54.64
MARLBORO GOLD 100 BX,28200004659,5.85,54.84
MARLBORO GOLD 100 BX,28200004659,5.85,54.64
MARLBORO GOLD 72 BOX,28200009654,5.05,54.84
MARLBORO GOLD 72 BOX,28200009654,5.05,54.64
MARLBORO GOLDMNB $1OFF,28200173614,4.7,54.84
MARLBORO GOLDMNB $1OFF,28200173614,4.7,44.64
MARLBORO GOLDMN100 BX,28200004710,5.7,54.84
MARLBORO GOLDMN100 BX,28200004710,5.7,54.64
MARLBORO GREEN 72 BX,28200009623,5.05,54.84
MARLBORO GREEN 72 BX,28200009623,5.05,54.64
